<dll>#<.dll>#<0,3073>
<hex>#<.hex>#<0,2943>
<mui>#<.mui>#<0,1979>
<chm>#<.chm>#<0,0911>
<xml>#<.xml>#<0,0234>
<exe>#<.exe>#<0,0182>
<cat>#<.cat>#<0,0156>
<inf>#<.inf>#<0,0156>
<sys>#<.sys>#<0,0156>
<ico>#<.ico>#<0,0078>
<htm>#<.htm>#<0,0052>
<devicemetadata-ms>#<.devicemetadata-ms>#<0,0026>
<id>#<.id>#<0,0026>
<bin>#<.bin>#<0,0026>
